order_id,customer_id,market,segment,channel,category,product_name,purchase_order,order_date,quantity,revenue,entry_category
ORD000009,C0001,Macau,VIC,Online,Jewellery,Ultra Bracelet,9,2023-02-12,4,18436.64,Handbags
ORD000003,C0001,Macau,VIC,Department Store,Accessories,CC Hair Clip,3,2023-05-22,1,1000.0,Handbags
ORD000004,C0001,Macau,VIC,Boutique,Jewellery,Comete Earrings,4,2023-06-27,1,2388.24,Handbags
ORD000007,C0001,Macau,VIC,Boutique,Shoes,Ankle Boots,7,2023-08-14,1,1642.96,Handbags
ORD000010,C0001,Macau,VIC,Boutique,Ready-to-Wear,Little Black Dress,10,2023-09-11,1,4333.03,Handbags
ORD000002,C0001,Macau,VIC,Boutique,Shoes,Sneakers,2,2023-11-17,1,1000.0,Handbags
ORD000005,C0001,Macau,VIC,Boutique,Jewellery,Comete Earrings,5,2024-01-03,2,5022.64,Handbags
ORD000006,C0001,Macau,VIC,Boutique,Handbags,Deauville Tote,6,2024-05-21,1,3673.56,Handbags
ORD000008,C0001,Macau,VIC,Boutique,Handbags,19 Bag,8,2024-05-22,2,13420.27,Handbags
ORD000001,C0001,Macau,VIC,Boutique,Handbags,Deauville Tote,1,2024-12-23,3,11502.79,Handbags
ORD000015,C0002,Australia,New,Online,Gifting,No.5 Gift Set,5,2023-03-02,2,600.0,Accessories
ORD000011,C0002,Australia,New,Department Store,Accessories,Camellia Brooch,1,2023-08-31,2,600.0,Accessories
ORD000016,C0002,Australia,New,Online,Gifting,No.5 Gift Set,6,2023-09-11,1,385.03,Accessories
ORD000013,C0002,Australia,New,Online,Ready-to-Wear,Classic Tweed Jacket,3,2023-12-26,4,600.0,Accessories
ORD000018,C0002,Australia,New,Boutique,Makeup,Vitalumiere Aqua,8,2024-01-13,2,169.69,Accessories
ORD000017,C0002,Australia,New,Boutique,Skincare,Sublimage Essence,7,2024-01-20,1,480.75,Accessories
ORD000014,C0002,Australia,New,Online,Gifting,Holiday Collection,4,2024-06-10,1,461.25,Accessories
ORD000012,C0002,Australia,New,Boutique,Handbags,Classic Flap Small,2,2024-09-16,1,600.0,Accessories
ORD000021,C0003,Vietnam,Elite,Boutique,Shoes,Sneakers,3,2023-05-14,1,744.78,Ready-to-Wear
ORD000026,C0003,Vietnam,Elite,Boutique,Accessories,CC Hair Clip,8,2023-05-16,1,400.0,Ready-to-Wear
ORD000020,C0003,Vietnam,Elite,Boutique,Ready-to-Wear,Little Black Dress,2,2023-08-12,1,4109.11,Ready-to-Wear
ORD000024,C0003,Vietnam,Elite,Boutique,Skincare,Sublimage Eye Cream,6,2024-01-05,1,400.0,Ready-to-Wear
ORD000028,C0003,Vietnam,Elite,Online,Makeup,No.1 Lip Balm,10,2024-01-12,2,400.0,Ready-to-Wear
ORD000027,C0003,Vietnam,Elite,Boutique,Jewellery,Camellia Pendant,9,2024-03-08,1,1648.95,Ready-to-Wear
ORD000022,C0003,Vietnam,Elite,Boutique,Jewellery,Comete Earrings,4,2024-04-15,1,2518.04,Ready-to-Wear
ORD000030,C0003,Vietnam,Elite,Department Store,Watches,Mademoiselle Prive,12,2024-10-05,1,7200.0,Ready-to-Wear
ORD000019,C0003,Vietnam,Elite,Boutique,Ready-to-Wear,Camellia Brooch Dress,1,2024-10-12,1,5355.47,Ready-to-Wear
ORD000029,C0003,Vietnam,Elite,Online,Accessories,Camellia Brooch,11,2024-11-24,1,616.29,Ready-to-Wear
ORD000023,C0003,Vietnam,Elite,Boutique,Gifting,Holiday Collection,5,2024-12-06,2,933.89,Ready-to-Wear
ORD000025,C0003,Vietnam,Elite,Boutique,Shoes,Ankle Boots,7,2024-12-17,2,3135.36,Ready-to-Wear
ORD000031,C0004,Singapore,Elite,Boutique,Jewellery,Ultra Bracelet,1,2023-05-07,1,5022.36,Jewellery
ORD000032,C0004,Singapore,Elite,Boutique,Accessories,Logo Scarf,2,2023-05-24,1,429.29,Jewellery
ORD000033,C0004,Singapore,Elite,Boutique,Ready-to-Wear,Camellia Brooch Dress,3,2024-12-08,1,5659.88,Jewellery
ORD000037,C0005,Singapore,Elite,Online,Jewellery,Camellia Pendant,4,2023-03-16,1,1529.68,Jewellery
ORD000035,C0005,Singapore,Elite,Boutique,Accessories,Pearl Earrings,2,2023-04-26,2,913.16,Jewellery
ORD000036,C0005,Singapore,Elite,Online,Watches,Boy.Friend,3,2023-11-21,1,7200.0,Jewellery
ORD000038,C0005,Singapore,Elite,Online,Accessories,Leather Gloves,5,2024-06-02,1,514.92,Jewellery
ORD000034,C0005,Singapore,Elite,Boutique,Jewellery,Coco Crush Bracelet,1,2024-10-23,2,6690.99,Jewellery
ORD000039,C0006,Hong Kong,Elite,Boutique,Jewellery,Camellia Pendant,1,2023-06-06,1,1601.81,Jewellery
ORD000040,C0006,Hong Kong,Elite,Boutique,Handbags,Business Affinity,2,2023-06-09,2,7200.0,Jewellery
ORD000042,C0006,Hong Kong,Elite,Online,Handbags,Deauville Tote,4,2024-09-18,2,7200.0,Jewellery
ORD000041,C0006,Hong Kong,Elite,Boutique,Watches,Premiere,3,2024-12-16,1,7200.0,Jewellery
ORD000043,C0006,Hong Kong,Elite,Boutique,Ready-to-Wear,Tailored Trousers,5,2024-12-19,1,1858.05,Jewellery
ORD000044,C0007,Korea,VIC,Boutique,Accessories,Leather Gloves,1,2023-10-03,1,1000.0,Accessories
ORD000046,C0007,Korea,VIC,Department Store,Watches,Premiere,3,2024-01-04,1,8629.6,Accessories
ORD000045,C0007,Korea,VIC,Boutique,Handbags,Deauville Tote,2,2024-03-15,1,3639.29,Accessories
ORD000048,C0007,Korea,VIC,Online,Ready-to-Wear,Tailored Trousers,5,2024-04-28,3,5149.1,Accessories
ORD000049,C0007,Korea,VIC,Boutique,Shoes,Ankle Boots,6,2024-11-02,2,3224.52,Accessories
ORD000047,C0007,Korea,VIC,Boutique,Jewellery,Ultra Bracelet,4,2024-11-21,1,4974.21,Accessories
ORD000051,C0008,Macau,Regular,Boutique,Skincare,Sublimage Eye Cream,2,2023-02-17,2,698.6,Fragrance
ORD000052,C0008,Macau,Regular,Online,Fragrance,No.5 EDP 100ml,3,2023-03-30,1,254.9,Fragrance
ORD000050,C0008,Macau,Regular,Online,Fragrance,Chance Eau Tendre 100ml,1,2024-05-29,1,262.53,Fragrance
ORD000054,C0009,Thailand,Regular,Online,Ready-to-Wear,Classic Tweed Jacket,2,2024-07-13,3,2400.0,Fragrance
ORD000053,C0009,Thailand,Regular,Online,Fragrance,Bleu de CHANEL 100ml,1,2024-08-28,4,1315.31,Fragrance
ORD000055,C0009,Thailand,Regular,Department Store,Fragrance,Bleu de CHANEL 100ml,3,2024-10-13,1,325.03,Fragrance
ORD000056,C0010,Singapore,New,Department Store,Makeup,Rouge Coco Lipstick,1,2023-04-17,4,206.33,Makeup
ORD000057,C0010,Singapore,New,Online,Skincare,Sublimage Creme,2,2023-05-26,2,600.0,Makeup
ORD000058,C0010,Singapore,New,Boutique,Handbags,Boy Bag Small,3,2024-01-17,1,600.0,Makeup
ORD000059,C0011,Korea,New,Boutique,Makeup,Les Beiges Foundation,1,2023-03-05,3,257.05,Makeup
ORD000060,C0011,Korea,New,Boutique,Shoes,Two-tone Slingback,2,2023-11-19,2,600.0,Makeup
ORD000061,C0012,Thailand,Regular,Boutique,Makeup,Rouge Coco Lipstick,1,2023-07-27,2,100.0,Makeup
ORD000063,C0013,Korea,Regular,Online,Makeup,Rouge Coco Lipstick,2,2023-11-12,2,101.96,Eyewear
ORD000062,C0013,Korea,Regular,Boutique,Eyewear,Cat Eye,1,2023-11-18,1,544.16,Eyewear
